Cliente - Local.1;Oficina de Ventas Unifica;Subtipo de cliente;Cluster BW;Frecuencia mes promedio;Delta dia promedio;Skew Delta dia;Kilos Venta promedio;Covarianza del lote;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0;identified_clusters
3200055979;T105;Espec. en Crudos;Premium;0.3829787234042553;77.05263157894737;2.273555740576634;62.0;1.1195943144212488;3871.99146281006;68.44791666666667;3622.295790432208;48.0;5182.791711219792;65.66666666666667;3653.0918655576743;82.5;3029.7864840305647;77.625;0.9270833333333333;0.0;1.3333333333333333;1.5;0.875;1
3200054336;T105;Multiespecialista;Clásico;0.05;836.0;0.0;29.5;0.3595458209423123;2969.58301558837;37.0;2969.58301558837;37.0;2969.58301558837;37.0;2969.58301558837;37.0;2969.58301558837;37.0;0.0;0.0;0.0;0.0;0.0;3
3200008795;T105;Espec. en Crudos;Clásico;0.3111111111111111;85.76923076923077;1.850592461417466;34.285714285714285;0.6915759131069732;4753.8889608010895;35.0;4236.581504717923;17.5;5704.7703404614585;35.0;4320.315037223887;52.5;4753.8889608010895;35.0;2.4166666666666665;1.5;3.0;2.75;2.4166666666666665;0
36038;T105;Espec. en Crudos;Clásico;0.0555555555555555;574.0;0.0;19.666666666666668;0.0776707744907769;4300.0;18.0;4300.0;18.0;4300.0;18.0;4300.0;18.0;4300.0;18.0;2.0;2.0;2.0;2.0;2.0;1
3200133517;T105;Multiespecialista;Clásico;0.5483870967741935;52.68421052631579;2.0202288611106254;28.9;0.6034018106507212;4802.716054094364;29.7202380952381;4660.529411764706;34.0;5716.843191005444;28.0;4981.66354310186;26.714285714285715;3851.8280705054462;30.166666666666668;2.5773809523809526;2.6666666666666665;2.6666666666666665;3.142857142857143;1.8333333333333333;0
14541;T105;Multiespecialista;Premium;0.2222222222222222;12.0;0.0;28.5;0.5210260492953508;3700.0;28.5;3700.0;28.5;3700.0;28.5;3700.0;28.5;3700.0;28.5;1.5;1.5;1.5;1.5;1.5;1
3200071534;T105;Espec. en Procesados;Clásico;0.1020408163265306;255.5;1.1028725247765725;21.8;0.3282301618348315;4268.5330654468335;27.0;3922.295790432209;20.0;4614.7703404614585;34.0;4268.5330654468335;27.0;4268.5330654468335;27.0;0.0;0.0;0.0;0.0;0.0;3
3200009888;T105;Multiespecialista;Premium;0.4047619047619047;65.625;0.6884541099223687;51.41176470588236;0.5493370226280302;3716.7553527619248;48.5;3716.7553527619248;48.5;3716.7553527619248;48.5;3850.206340194336;58.0;3583.304365329514;39.0;1.5;1.5;1.5;1.0;2.0;1
3200146089;T105;Multiespecialista;Sin asignar;0.25;168.0;0.0;105.0;0.4444671196029727;3391.5;105.0;4283.0;72.0;3391.5;105.0;3391.5;105.0;2500.0;138.0;1.0;2.0;1.0;1.0;0.0;3
84333;T105;Multiespecialista;Clásico;0.1818181818181818;183.0;0.0;55.5;0.9045870534098176;3659.7915077941852;55.5;4850.0;20.0;3659.7915077941852;55.5;3659.7915077941852;55.5;2469.58301558837;91.0;1.5;3.0;1.5;1.5;0.0;1
3200124725;T105;Espec. en Crudos;Clásico;0.2444444444444444;100.3;2.4424641594790044;55.45454545454545;0.5011274576755242;3228.842274847629;27.0;3228.842274847629;27.0;3228.842274847629;27.0;3228.842274847629;27.0;3228.842274847629;27.0;0.5;0.5;0.5;0.5;0.5;3
3200083725;T105;Espec. en Crudos;Premium;1.037037037037037;27.1875;1.6123495812398878;98.8181818181818;0.3754872237799805;4116.713186510691;99.1029411764706;4308.757062146893;118.0;5018.48855256702;82.0;3974.509474487613;101.41176470588236;3165.09765684124;95.0;1.802450980392157;2.333333333333333;1.5;2.176470588235294;1.2;1
82027;T105;Espec. en Crudos;Premium;0.3571428571428571;63.5;1.149079416518307;62.0;0.4628498339445723;4767.038146963604;71.75;4767.038146963604;71.75;5697.385170230729;88.0;4767.038146963604;71.75;3836.6911236964784;55.5;2.5;2.5;3.0;2.5;2.0;0
3200151085;T105;Espec. en Crudos;Sin asignar;0.2727272727272727;157.5;0.0;24.33333333333333;0.3590504773172919;3608.161952465816;24.33333333333333;3608.161952465816;24.33333333333333;3608.161952465816;24.33333333333333;3608.161952465816;24.33333333333333;3608.161952465816;24.33333333333333;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.3333333333333333;1
3200099637;T105;Espec. en Procesados;Clásico;0.3571428571428571;14.0;0.0;30.4;0.338352391332205;3784.7080155883705;30.4;3784.7080155883705;30.4;3784.7080155883705;30.4;3784.7080155883705;30.4;3784.7080155883705;30.4;1.6;1.6;1.6;1.6;1.6;1
67425;T105;Vendedores;Clásico;0.1176470588235294;284.0;0.0;419.5;1.3400474160746252;4064.840480331469;419.5;3322.2957904322084;817.0;4807.385170230729;22.0;4064.840480331469;419.5;4064.840480331469;419.5;2.0;3.0;1.0;2.0;2.0;4
3200160798;T105;Emprendedores;Clásico;0.0909090909090909;187.5;0.0;60.333333333333336;0.7848610306277958;3484.8788800893867;60.333333333333336;3484.8788800893867;60.333333333333336;3484.8788800893867;60.333333333333336;3484.8788800893867;60.333333333333336;3484.8788800893867;60.333333333333336;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.3333333333333333;1.3333333333333333;3
3200157297;T105;Espec. en Crudos;Clásico;2.5;11.217391304347826;1.3841554841120154;24.19148936170213;0.3345630514902818;4693.967668297457;21.953846153846158;4756.848262345699;21.2;5583.866651712211;18.0;4530.976299160423;22.07692307692308;3904.179459971496;26.53846153846154;2.3506410256410257;2.8;2.333333333333333;2.5384615384615383;1.7307692307692308;0
15756;T105;Emprendedores;Clásico;0.8378378378378378;21.933333333333334;4.114483921139517;21.870967741935484;0.3491614947918386;4862.117013833843;22.666666666666668;4696.5610965546575;24.5;5657.7703404614585;24.0;4232.019604485414;19.5;4862.117013833843;22.666666666666668;2.5;2.5;3.0;2.0;2.5;0
3200176705;T105;Espec. en Crudos;Clásico;0.3636363636363636;7.0;-0.7071067811865475;57.0;0.8507113843389728;3865.122807017544;57.0;3865.122807017544;57.0;3865.122807017544;57.0;3865.122807017544;57.0;3865.122807017544;57.0;2.5;2.5;2.5;2.5;2.5;1
3200079094;T105;Espec. en Crudos;Premium;0.9714285714285714;31.12121212121212;3.4979381851542226;35.11764705882353;0.479869178528634;4389.484685430526;40.975;4500.0;52.0;5307.385170230729;35.0;4095.7294961613534;38.2;3654.82407533002;38.7;1.825;2.0;2.0;2.0;1.3;1
79603;T105;Espec. en Crudos;Premium;0.0714285714285714;430.0;-0.4559250318833371;266.25;0.6280831584567255;3916.955211839606;340.75;3916.955211839606;340.75;4833.910423679212;360.5;3916.955211839606;340.75;3000.0;321.0;2.0;2.0;2.0;2.0;2.0;4
3200078035;T105;Espec. en Crudos;Premium;1.2653061224489797;22.41176470588235;6.004521377924043;57.91304347826087;0.4853547675236497;4333.813868186521;62.83035714285714;4487.823180016545;48.66666666666666;5008.738817230165;96.33333333333331;4115.451779614333;57.75;3723.24169588504;48.57142857142857;1.952380952380952;2.333333333333333;1.8333333333333333;2.0;1.6428571428571428;1
59679;T105;Multiespecialista;Premium;0.4166666666666667;60.78947368421053;1.3114271064343763;59.5;0.8279404203484056;3967.274841349427;83.19791666666666;3922.295790432208;122.0;4772.333365671542;39.66666666666666;3621.6655999086497;138.0;3552.8046093853063;33.125;1.125;1.0;0.6666666666666666;1.3333333333333333;1.5;1
27290;T105;Espec. en Crudos;Clásico;3.14;9.022598870056497;2.3391732874980984;31.146067415730336;0.5751349980347503;6208.96551724138;58.0;4662.169199744228;33.095238095238095;5570.348214948018;32.64;4555.3559602622045;29.548387096774192;3859.512599375047;35.645833333333336;3.5;2.1904761904761907;2.2;2.7096774193548385;2.083333333333333;0
60964;T105;Espec. en Procesados;Premium;0.1666666666666666;3.0;0.0;36.5;0.6780475983980593;2995.610412848644;36.5;2995.610412848644;36.5;2995.610412848644;36.5;2995.610412848644;36.5;2995.610412848644;36.5;0.0;0.0;0.0;0.0;0.0;3
44833;T105;Espec. en Crudos;Premium;0.0769230769230769;406.0;0.6914426494288541;68.75;0.4878513073382354;3600.0;51.0;3600.0;51.0;3600.0;51.0;3600.0;51.0;3600.0;51.0;1.0;1.0;1.0;1.0;1.0;3
3200119453;T105;Multiespecialista;Premium;0.4081632653061224;55.78947368421053;3.2475565209472856;27.55;0.5121732555583832;5105.993216317166;17.0;4551.693948791114;30.583333333333332;4551.693948791114;30.583333333333332;4307.952184678251;32.5;4241.136445377923;42.25;2.0;2.5833333333333335;2.5833333333333335;2.5;3.25;0
3200006707;T105;Espec. en Crudos;Clásico;0.1818181818181818;178.5;0.0;42.333333333333336;0.0894316274929176;3265.101483365078;42.333333333333336;3265.101483365078;42.333333333333336;3265.101483365078;42.333333333333336;3265.101483365078;42.333333333333336;3265.101483365078;42.333333333333336;1.0;1.0;1.0;1.0;1.0;3
3200121998;T105;Espec. en Crudos;Clásico;0.238095238095238;130.2;0.7271554449924885;54.333333333333336;0.466870762557971;4211.081972990571;71.0;4211.081972990571;71.0;4211.081972990571;71.0;4522.16394598114;46.0;3900.0;96.0;2.5;2.5;2.5;3.0;2.0;1
26324;T105;Espec. en Procesados;Clásico;0.0526315789473684;604.5;0.0;28.666666666666668;0.3441546183011336;3469.6881018671365;23.0;3469.6881018671365;23.0;3469.6881018671365;23.0;3469.6881018671365;23.0;3469.6881018671365;23.0;0.5;0.5;0.5;0.5;0.5;3
28130;T105;Espec. en Crudos;Clásico;0.048780487804878;513.0;0.0;19.0;0.2977291710259148;4817.16603117674;15.0;4817.16603117674;15.0;4817.16603117674;15.0;4817.16603117674;15.0;4817.16603117674;15.0;4.0;4.0;4.0;4.0;4.0;0
3200143285;T105;Espec. en Crudos;Sin asignar;3.692307692307693;8.284313725490197;1.752936970835075;27.155339805825243;0.4376016093178407;4494.730263679606;26.22056435445068;4562.26343687298;27.625;5486.478394720408;22.4;4221.095634358881;24.27586206896552;3709.083588766155;30.58139534883721;1.9404587677091687;2.125;2.066666666666667;1.9655172413793105;1.6046511627906976;0
3200039386;T105;Multiespecialista;Clásico;0.2222222222222222;163.0;0.0;28.0;0.2020305089104421;4840.3897939290255;28.0;4840.3897939290255;28.0;5407.385170230729;32.0;4273.394417627322;24.0;4840.3897939290255;28.0;2.0;2.0;2.0;2.0;2.0;0
3200018326;T105;Multiespecialista;Clásico;0.1666666666666666;4.0;0.0;21.5;0.2959981874734385;2582.3737132627884;21.5;2582.3737132627884;21.5;2582.3737132627884;21.5;2582.3737132627884;21.5;2582.3737132627884;21.5;0.0;0.0;0.0;0.0;0.0;3
3200080009;T105;Multiespecialista;Premium;0.425531914893617;71.4;2.480211658118318;96.33333333333331;0.6760115788900404;4414.035431267036;70.8888888888889;4414.035431267036;70.8888888888889;5301.7703404614585;64.0;4140.754263818392;76.0;3799.581689521258;72.66666666666667;2.444444444444444;2.444444444444444;2.0;3.0;2.333333333333333;0
3200154124;T105;Espec. en Crudos;Clásico;0.3125;60.75;1.1544400698353643;19.8;0.2241650608199207;4891.5188911683545;19.333333333333336;4891.5188911683545;19.333333333333336;5408.887987520282;17.0;4374.149794816426;21.666666666666668;4891.5188911683545;19.333333333333336;2.1666666666666665;2.1666666666666665;2.0;2.333333333333333;2.1666666666666665;0
3200138379;T105;Espec. en Crudos;Clásico;0.5;66.0;1.0096119975435698;25.571428571428573;0.3810640146989507;5500.0;19.0;4790.0;18.0;4727.01381355499;21.8;4727.01381355499;21.8;3891.041440664968;28.4;3.0;3.0;2.466666666666667;2.466666666666667;1.4;0
3200100902;T105;Espec. en Crudos;Premium;1.7608695652173914;16.930232558139537;1.5288890752024318;127.51724137931036;0.4435436997701543;5696.444711284168;126.0;4671.984897330461;92.88888888888889;5621.633837883389;118.71428571428572;4384.830482361404;111.88888888888889;3811.23017889732;116.72;3.0;2.888888888888889;3.2857142857142856;3.1666666666666665;2.68;0
3200105265;T105;Espec. en Crudos;Premium;3.25;9.411764705882351;1.940676436912683;23.11111111111111;0.3514860798424417;4920.687087919842;22.116666666666667;4866.631578947368;31.666666666666668;5454.260170230729;16.0;5321.394417627322;17.0;4040.462184873949;23.8;2.775;3.0;2.0;4.0;2.1;0
58500;T105;Espec. en Crudos;Premium;0.1428571428571428;159.6;0.9526877280831312;680.1666666666666;0.9284944432341248;3514.594765173781;123.66666666666669;3514.594765173781;123.66666666666669;3514.594765173781;123.66666666666669;3514.594765173781;123.66666666666669;3514.594765173781;123.66666666666669;1.0;1.0;1.0;1.0;1.0;4
3200073875;T105;Espec. en Crudos;Premium;0.3125;97.8;1.4722577431865875;981.0;0.6046600163614271;3452.7409451147346;820.75;3452.7409451147346;820.75;4414.7703404614585;1248.0;3282.7888352546443;73.0;2660.663659628102;1141.25;0.8333333333333334;0.8333333333333334;1.0;0.0;1.5;2
3200072095;T105;Espec. en Crudos;Premium;0.1351351351351351;195.75;1.1492978400719116;335.8;1.0981910620369597;2512.9896089949634;91.0;2512.9896089949634;91.0;2512.9896089949634;91.0;2512.9896089949634;91.0;2512.9896089949634;91.0;0.0;0.0;0.0;0.0;0.0;3
3200074576;T105;Espec. en Crudos;Premium;0.1290322580645161;109.0;0.4121359287603717;60.75;0.569013443408949;3937.448021450986;49.75;3937.448021450986;49.75;3937.448021450986;49.75;3982.788835254644;23.0;3892.107207647328;76.5;1.75;1.75;1.75;1.0;2.5;1
3200132937;T105;Espec. en Crudos;Premium;0.4230769230769231;66.6;1.403594321644242;23.63636363636364;0.4365172817633987;4137.179076442371;24.708333333333332;4416.04457358336;20.33333333333333;4823.861249552368;22.0;3889.931692397501;21.0;3418.878790236258;35.5;1.0416666666666667;1.6666666666666667;0.5;1.0;1.0;1
42441;T105;Espec. en Crudos;Premium;0.2291666666666666;123.9;2.480000762900449;37.18181818181818;0.3530955148857838;3937.465677455961;37.15;4022.295790432208;45.0;4857.385170230729;35.0;3782.788835254644;28.0;3087.392913906264;40.6;0.9;1.0;1.0;1.0;0.6;1
3200165221;T105;Espec. en Procesados;Premium;0.25;6.0;0.0;19.5;0.0362618862146947;4170.0;19.5;4170.0;19.5;4170.0;19.5;4250.0;19.0;4090.0;20.0;2.0;2.0;2.0;2.0;2.0;1
3200115880;T105;Multiespecialista;Clásico;0.1388888888888889;230.4;0.4096180962156325;22.166666666666668;0.1380677164648183;4458.713741537078;22.5;4922.295790432208;19.0;5039.7703404614585;25.0;3782.788835254644;22.0;4090.0;24.0;1.75;3.0;1.0;1.0;2.0;1
3200167575;T105;Espec. en Crudos;Clásico;0.5;7.0;0.0;21.0;0.2693740118805895;4745.697208813661;21.0;4350.0;25.0;4745.697208813661;21.0;5141.394417627322;17.0;4745.697208813661;21.0;3.0;2.0;3.0;4.0;3.0;0
3200102239;T105;Multiespecialista;Premium;0.25;112.0;1.5944844510333622;23.9;0.2582644244688027;3916.6403207078097;23.166666666666668;4022.295790432208;18.0;3916.6403207078097;23.166666666666668;4281.394417627322;26.0;3446.230754063899;25.5;1.388888888888889;1.0;1.388888888888889;2.0;1.1666666666666667;1
38444;T105;Espec. en Crudos;Sin asignar;1.4;5.333333333333333;1.008174705208303;45.57142857142857;0.5197211069939415;5177.459373115867;41.2;4584.630350194552;51.4;5770.288396037181;31.0;5177.459373115867;41.2;5177.459373115867;41.2;2.7;2.4;3.0;2.7;2.7;0
3200153683;T105;Espec. en Crudos;Clásico;0.625;10.22222222222222;1.493495785528783;85.6;0.7416195215582329;4192.751682141426;51.79166666666667;4322.295790432208;21.0;4764.7703404614585;24.0;4267.9740204398295;40.5;3415.966577232205;121.66666666666669;1.2083333333333333;1.0;0.0;2.5;1.3333333333333333;1
33511;T105;Multiespecialista;Clásico;1.542857142857143;18.142857142857142;5.073602167388628;20.46875;0.1626097830322592;4679.3692172367755;20.25;4652.195121951219;20.5;5382.842765440352;20.0;4594.806352858803;20.214285714285715;4087.632628696728;20.285714285714285;2.136904761904762;2.25;1.8333333333333333;2.571428571428572;1.8928571428571428;0
3200159262;T105;Multiespecialista;Clásico;0.5;29.25;0.9342885780342378;35.2;0.3623690629867805;4704.0972088136605;41.125;5150.0;51.0;4704.0972088136605;41.125;4258.194417627322;31.25;4704.0972088136605;41.125;2.625;3.0;2.625;2.25;2.625;0
39813;T105;Multiespecialista;Clásico;0.2291666666666666;97.3;1.6045953713248178;46.90909090909091;0.5556110632687087;3916.7913867040643;37.5;3916.7913867040643;37.5;3916.7913867040643;37.5;3494.416742231388;43.0;4339.16603117674;32.0;1.75;1.75;1.75;0.5;3.0;1
3200145758;T105;Multiespecialista;Clásico;1.0;34.285714285714285;0.0705201001628035;31.375;0.2526573201560921;4387.623969780219;31.166666666666664;4889.56043956044;30.33333333333333;4387.623969780219;31.166666666666664;4387.623969780219;31.166666666666664;3885.6875;32.0;2.1333333333333333;2.6666666666666665;2.1333333333333333;2.1333333333333333;1.6;1
3200071285;T105;Multiespecialista;Premium;0.24;128.0909090909091;2.733882782425856;24.25;0.4303934301541467;4799.044966342819;24.0;4799.044966342819;24.0;4997.385170230729;19.0;4600.704762454908;29.0;4799.044966342819;24.0;2.0;2.0;1.0;3.0;2.0;0
3200133185;T105;Multiespecialista;Premium;0.6153846153846154;39.45454545454545;2.7860396639355867;53.25;0.570568736105206;4280.10853520832;62.15;4532.384105960265;75.5;4280.10853520832;62.15;4280.10853520832;62.15;4027.832964456376;48.8;2.3;2.5;2.3;2.3;2.1;1
59596;T105;Multiespecialista;Premium;0.4210526315789473;47.71428571428572;0.8895921193752139;22.75;0.1571741414227168;4220.806108498372;22.433333333333334;4220.806108498372;22.433333333333334;4997.385170230729;21.0;4142.173543931339;22.8;3522.8596113330505;23.5;1.2666666666666666;1.2666666666666666;1.0;1.8;1.0;1
70619;T105;Espec. en Crudos;Clásico;0.2;158.66666666666666;0.608544336988528;49.0;0.1802400176801601;4218.328108568863;51.166666666666664;4622.295790432208;60.0;4218.328108568863;51.166666666666664;4391.394417627322;51.0;3641.294117647059;42.5;2.5;3.0;2.5;3.0;1.5;1
3200168632;T105;Emprendedores;Premium;0.5;2.0;0.0;22.5;0.4085505846855607;5215.616639849543;22.5;5215.616639849543;22.5;5215.616639849543;22.5;5215.616639849543;22.5;5215.616639849543;22.5;4.0;4.0;4.0;4.0;4.0;0
34079;T105;Multiespecialista;Premium;0.0526315789473684;672.0;0.0;27.0;0.4190262407031393;3182.7888352546443;35.0;3182.7888352546443;35.0;3182.7888352546443;35.0;3182.7888352546443;35.0;3182.7888352546443;35.0;0.0;0.0;0.0;0.0;0.0;3
