Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente
2021-06-15,71.28742094114723,4870.498572974776,2455.2562657783205,1010002,,Santiago,Grandes Clientes
2021-06-16,1484.2348386284064,6433.332901653977,3890.471706231928,1010002,,Santiago,Grandes Clientes
2021-06-17,1538.9869896787409,6581.1327053350915,4137.003304755772,1010002,,Santiago,Grandes Clientes
2021-06-11,85.01346798631137,1007.2691331548851,548.9038300966535,1020253,,Santiago,Foodservice
2021-06-12,14.758969747050083,937.083726904391,461.11045846252273,1020253,,Santiago,Foodservice
2021-06-13,79.10147078533123,1008.8200949193249,504.33320174025135,1020253,,Santiago,Foodservice
2021-06-14,79.62628070820267,933.4141745875154,501.6467732452495,1020253,,Santiago,Foodservice
2021-06-15,107.68851247357517,1045.296412602268,574.8666826390349,1020253,,Santiago,Foodservice
2021-06-16,123.2949723657901,1003.7722376408952,549.2529389747739,1020253,,Santiago,Foodservice
2021-06-17,75.18203952712294,973.2457857648382,550.3403178061436,1020253,,Santiago,Foodservice
2021-06-10,-29.73148798863698,63.00477723239647,18.832908278022007,1020042,,Santiago,Foodservice
2021-06-11,-51.737789163966006,40.70265340510764,-6.309519844911443,1020042,,Santiago,Foodservice
2021-06-12,-44.62706846955935,48.51605531917751,1.509760360901239,1020042,,Santiago,Foodservice
2021-06-13,-187.28263328409935,-98.45002624801343,-141.45152632554323,1020042,,Santiago,Foodservice
2021-06-14,-58.20060787546674,33.00687082870891,-13.927813874064796,1020042,,Santiago,Foodservice
2021-06-15,-61.722034856340976,28.075468254500283,-18.559289665464984,1020042,,Santiago,Foodservice
2021-06-16,-18.11895357627802,73.69066889412443,28.874309082448,1020042,,Santiago,Foodservice
2021-06-10,-139.7559739338917,287.08109986505474,65.16726918390209,1020027,,Santiago,Foodservice
2021-06-11,-187.8280680879139,255.0844064294545,50.24191320840574,1020027,,Santiago,Foodservice
2021-06-12,-240.74986484179826,176.40504465435208,-20.459002904295808,1020027,,Santiago,Foodservice
2021-06-13,-204.87876592830963,234.28175263806753,6.805615017689732,1020027,,Santiago,Foodservice
2021-06-14,-183.87034268086214,268.38701143438846,36.0787957444733,1020027,,Santiago,Foodservice
2021-06-15,-204.61721634302648,227.14609773994678,-0.16164983558471846,1020027,,Santiago,Foodservice
2021-06-16,-204.97715396537842,217.78130920905244,1.8647029847259802,1020027,,Santiago,Foodservice
2021-06-10,-151.58211206191328,235.18772669168922,35.52075223731602,1020013,,Santiago,Foodservice
2021-06-11,-68.9170357123815,297.5087517839027,116.04108105972686,1020013,,Santiago,Foodservice
2021-06-12,-145.14161834757203,246.80994540323226,51.15410698450583,1020013,,Santiago,Foodservice
2021-06-13,-116.2274695383119,257.39986801029164,69.52147877972929,1020013,,Santiago,Foodservice
2021-06-14,-94.4448596973557,282.3306879164317,88.95344774211583,1020013,,Santiago,Foodservice
2021-06-15,-110.39096630138205,247.7618991442679,62.07845373430762,1020013,,Santiago,Foodservice
2021-06-16,-90.44907549271595,278.1542630133248,97.5627053166796,1020013,,Santiago,Foodservice
2021-06-11,79.59153724992649,2983.827014829182,1465.6663014597366,1020010,,Santiago,Foodservice
2021-06-12,-878.2175473366765,2087.1257683530002,654.0601170022799,1020010,,Santiago,Foodservice
2021-06-13,-1048.1085299447452,1971.6691421736678,447.52184442668806,1020010,,Santiago,Foodservice
2021-06-14,-344.61893366267515,2537.9538668929076,1085.523678543828,1020010,,Santiago,Foodservice
2021-06-15,-644.5057704515634,2352.1460275296276,864.2282058478586,1020010,,Santiago,Foodservice
2021-06-16,-599.7184045580781,2591.4238447980824,1012.4900307189708,1020010,,Santiago,Foodservice
2021-06-17,-541.7415090174882,2341.122306846101,921.881043832436,1020010,,Santiago,Foodservice
2021-06-10,-44.44728624432292,326.772832227381,140.93907572919542,1020003,,Santiago,Foodservice
2021-06-11,-9.6524947041703,390.9677966585325,198.8644578486476,1020003,,Santiago,Foodservice
2021-06-12,-128.2740816960345,308.6593454580842,93.46808987093077,1020003,,Santiago,Foodservice
2021-06-13,-141.8979013488689,251.8114108544998,51.23870179838774,1020003,,Santiago,Foodservice
2021-06-14,-65.50126182527639,306.41113512125696,112.80659343859182,1020003,,Santiago,Foodservice
2021-06-15,-22.893525144852404,363.87291124157946,170.1692711458545,1020003,,Santiago,Foodservice
2021-06-16,126.9133308891084,519.5025351545565,329.20296750186367,1020003,,Santiago,Foodservice
2021-06-02,-71.1451948832953,177.97631899211586,56.2944320780028,1020001,,Santiago,Foodservice
2021-06-03,-136.38021844579984,107.38384726027041,-13.587406339843133,1020001,,Santiago,Foodservice
2021-06-04,-106.52391894212589,148.3092289074946,26.577131410720703,1020001,,Santiago,Foodservice
2021-06-05,-178.70321576523997,62.97263888029826,-59.17980258118402,1020001,,Santiago,Foodservice
2021-06-06,-113.73796290938361,135.58141639233543,8.06250324320065,1020001,,Santiago,Foodservice
2021-06-07,-96.45115575473785,148.4625095709381,24.66073355689633,1020001,,Santiago,Foodservice
2021-06-08,-165.94452475660233,98.97027749984346,-34.5981944511141,1020001,,Santiago,Foodservice
2021-06-11,146.51438400196045,667.6341173979342,400.37199352500335,1010695,,Santiago,Foodservice
2021-06-12,71.5915129495343,585.1612293463417,317.208456738469,1010695,,Santiago,Foodservice
2021-06-13,-33.28791181548213,519.4277116171382,248.47335956209497,1010695,,Santiago,Foodservice
2021-06-14,31.98313865817848,538.9958111701665,286.899964002068,1010695,,Santiago,Foodservice
2021-06-15,55.08064125617344,556.6719883388965,309.5499188780863,1010695,,Santiago,Foodservice
2021-06-16,166.29202079597155,681.7142819663585,428.22628261406965,1010695,,Santiago,Foodservice
2021-06-17,61.82218546363477,585.031783580864,317.49857334332046,1010695,,Santiago,Foodservice
2021-06-11,3711.6881914694754,10658.0694993551,7160.153453707956,1010267,,Santiago,Foodservice
2021-06-12,869.6863809674223,7809.409280571136,4263.517694461723,1010267,,Santiago,Foodservice
2021-06-13,-3328.8926907622754,3228.9025180844756,-109.8326115123009,1010267,,Santiago,Foodservice
2021-06-14,3122.8735806814952,10124.198885932792,6699.751749004502,1010267,,Santiago,Foodservice
2021-06-15,4924.244859323185,11677.95171023501,8334.377953460815,1010267,,Santiago,Foodservice
2021-06-16,4810.810997903435,11391.321772390485,8007.235692544888,1010267,,Santiago,Foodservice
2021-06-17,4092.5809797635716,10935.146530951428,7675.393177211864,1010267,,Santiago,Foodservice
2021-06-11,983.3761191644634,3113.379100812484,2049.300479063283,1010078,,Santiago,Foodservice
2021-06-12,190.59142835079575,2306.8685623602564,1289.9939828714812,1010078,,Santiago,Foodservice
2021-06-13,-849.5145141901111,1271.8161016116592,221.97801605949076,1010078,,Santiago,Foodservice
2021-06-14,761.9238475540766,2878.7344080284856,1816.1936459613576,1010078,,Santiago,Foodservice
2021-06-15,941.4814313712891,3004.6030883701155,1991.8847839639918,1010078,,Santiago,Foodservice
2021-06-16,1670.1305101721287,3810.5381024495377,2698.851998801189,1010078,,Santiago,Foodservice
2021-06-17,1098.946127432199,3253.0604018310796,2142.6578476434547,1010078,,Santiago,Foodservice
2021-06-03,-28.13555444234458,65.98578178140322,16.94795640737648,1010077,,Santiago,Foodservice
2021-06-04,-29.655699239154966,69.6058447778688,21.374247233441668,1010077,,Santiago,Foodservice
2021-06-05,-35.53592617308444,62.83950817337491,15.063285623357874,1010077,,Santiago,Foodservice
2021-06-06,-54.588154952260034,48.84576869552551,-2.4115845644721485,1010077,,Santiago,Foodservice
2021-06-07,-46.39291036925615,53.71690054420426,4.382804678192672,1010077,,Santiago,Foodservice
2021-06-08,-28.91734585683521,69.9247756676169,20.106300394940995,1010077,,Santiago,Foodservice
2021-06-09,-37.525166563680855,61.566640953732716,12.322870386290214,1010077,,Santiago,Foodservice
2021-06-11,-163.36406467896785,2402.6101881814266,1179.8223115357387,1010048,,Santiago,Foodservice
2021-06-12,-1522.4382731200865,1023.1970735904437,-228.15338854017432,1010048,,Santiago,Foodservice
2021-06-13,-2486.988612988102,83.19500253232997,-1176.7773568515165,1010048,,Santiago,Foodservice
2021-06-14,-352.19211830836286,2221.8113286333364,955.7352479020233,1010048,,Santiago,Foodservice
2021-06-15,-359.06314533322217,2214.469141072486,887.9719466137187,1010048,,Santiago,Foodservice
2021-06-16,52.8160021693963,2630.990613242597,1334.5926684950539,1010048,,Santiago,Foodservice
2021-06-17,-257.1590148326653,2232.9722670977176,954.5821885253254,1010048,,Santiago,Foodservice
2021-06-11,-402.05549220780813,1479.006331282061,542.9093477235854,1010002,,Santiago,Foodservice
2021-06-12,-600.9501428102037,1279.6837183295866,352.20617805019776,1010002,,Santiago,Foodservice
2021-06-13,-729.5950559342053,1102.039222391368,150.8375846673607,1010002,,Santiago,Foodservice
2021-06-14,-681.0264711553668,1144.8438915420495,264.7624820507992,1010002,,Santiago,Foodservice
2021-06-15,-484.0735349853956,1435.632990566271,455.30694007803095,1010002,,Santiago,Foodservice
2021-06-16,-400.1762154764934,1592.1859624768088,576.2020752788912,1010002,,Santiago,Foodservice
2021-06-17,-375.9196938365768,1514.5254752808091,564.8091852641846,1010002,,Santiago,Foodservice
2021-02-14,-7610.929761096646,-5031.394866550567,-6294.403457612695,1020013,,Santiago,Industriales
2021-02-15,-838.2465794533898,1809.5216013186712,457.47501644708564,1020013,,Santiago,Industriales
2021-02-16,210.91409338427079,2904.135927528447,1617.3481974576098,1020013,,Santiago,Industriales
2021-02-17,342.7885746852454,2764.019944431365,1549.4201006762864,1020013,,Santiago,Industriales
2021-02-18,1222.7463274361446,3811.5808454166067,2514.6523883078007,1020013,,Santiago,Industriales
2021-02-19,2042.937229967976,4608.901741858472,3305.221150373892,1020013,,Santiago,Industriales
