Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-15,-4.183821864136541,179.55727859411252,90.29248958571263,1020003,Arica,Norte
2021-06-16,-1.8368917778479925,191.9174777814168,103.14937029427693,1020003,Arica,Norte
2021-06-17,28.69684858326347,208.53099745784985,117.50656879577843,1020003,Arica,Norte
2021-06-18,15.42929400806911,193.70869219676848,103.40322591488821,1020003,Arica,Norte
2021-06-12,-5.451831831811096,280.16379786198695,130.4297191588295,1020001,Arica,Norte
2021-06-13,-86.58367308139033,202.38532340438752,56.93726081713041,1020001,Arica,Norte
2021-06-14,-19.111028660096828,267.269295725851,119.00092672646397,1020001,Arica,Norte
2021-06-15,-58.87232584002465,239.65693871063712,94.77887791834662,1020001,Arica,Norte
2021-06-16,-13.024100977325947,278.4495509236031,135.09430336934628,1020001,Arica,Norte
2021-06-17,1.011209270947608,276.7219363567625,131.13076842134546,1020001,Arica,Norte
2021-06-18,-15.118865202012925,268.7502259248199,130.3370101044609,1020001,Arica,Norte
2021-06-19,-15.519781701738806,275.82920696042726,139.41594534386653,1020001,Arica,Norte
2021-06-12,-62.934265074585205,365.2590105868252,153.37401060739148,1010695,Arica,Norte
2021-06-13,-72.3198491675021,359.894891969689,144.8528832532195,1010695,Arica,Norte
2021-06-14,-73.4018801731905,367.72566107182536,141.75337042285668,1010695,Arica,Norte
2021-06-15,-82.44046723874317,335.2252045123536,124.40057179700408,1010695,Arica,Norte
2021-06-16,-104.28259809339792,318.91343494388013,113.3578202340291,1010695,Arica,Norte
2021-06-17,-97.8961633882792,326.2981351738105,115.71894223107589,1010695,Arica,Norte
2021-06-18,-89.45175171166618,305.20322594076845,112.6876203101541,1010695,Arica,Norte
2021-06-19,-134.8401445995931,301.0069220657287,88.92755590221114,1010695,Arica,Norte
2021-06-12,328.67421657082497,1343.7497142022034,838.1744836560613,1010267,Arica,Norte
2021-06-13,-291.19459777001595,659.8493685693442,170.2826819848716,1010267,Arica,Norte
2021-06-14,167.57962779721817,1096.5469458663747,614.7013267375733,1010267,Arica,Norte
2021-06-15,396.22049358239434,1370.2992829163736,886.867329211799,1010267,Arica,Norte
2021-06-16,290.99520388082055,1251.86779509983,790.7334458207376,1010267,Arica,Norte
2021-06-17,512.5187008106826,1445.70178917824,981.23794642826,1010267,Arica,Norte
2021-06-18,474.60250229813676,1416.2805609001223,960.5398587021197,1010267,Arica,Norte
2021-06-19,441.57910504803726,1396.9065260304676,910.3271617426988,1010267,Arica,Norte
2021-06-12,1962.2788417394904,5214.22736595143,3556.3463790752794,1010078,Arica,Norte
2021-06-13,-833.842462216585,2389.1369702811753,822.8976720723251,1010078,Arica,Norte
2021-06-14,781.544986033773,3943.6536911400385,2449.2711144618556,1010078,Arica,Norte
2021-06-15,1256.5966213880702,4741.985672600402,3050.0387978330746,1010078,Arica,Norte
2021-06-16,1289.0967014328633,4536.838404540702,2941.828094639471,1010078,Arica,Norte
2021-06-17,1830.9904703618618,5183.763245186978,3477.555737938628,1010078,Arica,Norte
2021-06-18,2686.001674037527,5873.611699046758,4245.997234495134,1010078,Arica,Norte
2021-06-19,1919.667114636721,5308.247356075655,3633.0583102332866,1010078,Arica,Norte
2021-06-12,10.701076412144204,213.83758425361128,112.59431119812213,1010077,Arica,Norte
2021-06-13,-48.384393908625206,156.8308695609687,48.24044590247679,1010077,Arica,Norte
2021-06-14,-39.52028071904354,168.6432834865703,63.37244754807574,1010077,Arica,Norte
2021-06-15,-36.815123987602924,177.66334009457995,68.52169137950234,1010077,Arica,Norte
2021-06-16,4.903975224300023,210.61292530844563,105.62303685940542,1010077,Arica,Norte
2021-06-17,-21.695240659399452,197.6620927847728,83.74011549567558,1010077,Arica,Norte
2021-06-18,-19.609933731265418,185.90456678868733,82.43384853501655,1010077,Arica,Norte
2021-06-19,0.2488932988846207,208.740996650241,105.88008872542292,1010077,Arica,Norte
2021-06-12,290.3363569759552,2241.469092031866,1237.4108599225037,1010048,Arica,Norte
2021-06-13,-1349.161507661455,568.2519392749803,-393.647162362156,1010048,Arica,Norte
2021-06-14,-379.40962502621426,1608.733062564023,588.3057806129042,1010048,Arica,Norte
2021-06-15,19.296844672329943,2017.3900566108955,1026.1802256155743,1010048,Arica,Norte
2021-06-16,17.70243887866934,2042.9419308913366,1061.0862287150617,1010048,Arica,Norte
2021-06-17,353.89683132945186,2315.7709681384404,1318.2357495627339,1010048,Arica,Norte
2021-06-18,385.95166827454864,2255.1420497001127,1378.343102085415,1010048,Arica,Norte
2021-06-19,232.30338484873928,2074.7039461326985,1171.3240027777938,1010048,Arica,Norte
2021-06-12,359.9834165461599,1573.2119361510534,980.0903986674708,1010002,Arica,Norte
2021-06-13,-320.39007033721737,781.2032537948764,200.1575510796598,1010002,Arica,Norte
2021-06-14,100.71596470151388,1307.8363462515051,719.4472743384848,1010002,Arica,Norte
2021-06-15,378.61923778960517,1561.0140165704213,955.604177258218,1010002,Arica,Norte
2021-06-16,465.0555076753905,1651.0956761331697,1049.427142903913,1010002,Arica,Norte
2021-06-17,598.6510595725682,1773.934937656362,1199.443642491505,1010002,Arica,Norte
2021-06-18,503.86462517484733,1685.7943924486585,1102.6319670121163,1010002,Arica,Norte
