Día natural,Predicción Inferior,Predicción Superior,Predicción central,Material,Oficina de Ventas Unifica,Zona de ventas.1,Tipo de cliente,Semana
2021-06-26,-1743.6315312589563,4957.521001216057,1620.592749705882,1020013,,Santiago,Grandes Clientes,25
2021-06-22,-691.2157909331215,3035.7389104002864,1148.3052925223762,1020010,,Santiago,Grandes Clientes,25
2021-06-23,-177.2249706872786,3518.8651064691044,1615.9083811807545,1020010,,Santiago,Grandes Clientes,25
2021-06-24,-509.3856008090647,3021.602352246111,1225.3715261705224,1020010,,Santiago,Grandes Clientes,25
2021-06-25,-244.5016286827146,3370.6808291811167,1413.7369026072947,1020010,,Santiago,Grandes Clientes,25
2021-06-26,-615.8627087931787,2896.768256907829,1157.37856183917,1020010,,Santiago,Grandes Clientes,25
2021-06-22,-680.9370942169411,1141.8329688297156,214.9259906371061,1020003,,Santiago,Grandes Clientes,25
2021-06-23,-621.0825218872645,1181.0555633007805,257.2647167170957,1020003,,Santiago,Grandes Clientes,25
2021-06-24,-482.9064932163227,1343.327329731077,436.2882572763973,1020003,,Santiago,Grandes Clientes,25
2021-06-25,-563.3979051382032,1232.8105637148783,360.89191999246754,1020003,,Santiago,Grandes Clientes,25
2021-06-26,-685.9989590563906,1169.7784276454215,202.61125814716883,1020003,,Santiago,Grandes Clientes,25
2021-06-22,-532.0859193062943,894.9330947753906,168.96727512392155,1020001,,Santiago,Grandes Clientes,25
2021-06-23,-501.452175199786,832.7893911289385,159.89756583239813,1020001,,Santiago,Grandes Clientes,25
2021-06-24,-502.6952127999553,873.2827450855303,193.4668222127941,1020001,,Santiago,Grandes Clientes,25
2021-06-25,-246.14387107234353,1122.910083923928,430.65007285468835,1020001,,Santiago,Grandes Clientes,25
2021-06-26,-473.80928941966374,974.5270192552124,241.23365911624842,1020001,,Santiago,Grandes Clientes,25
2021-06-22,-3044.5790588176114,5079.772249286842,1002.5311791355698,1010695,,Santiago,Grandes Clientes,25
2021-06-23,-2181.561534687149,5700.986881665671,1577.7023875498692,1010695,,Santiago,Grandes Clientes,25
2021-06-24,-2533.2192754228245,5410.04432032027,1297.2175633670017,1010695,,Santiago,Grandes Clientes,25
2021-06-25,-2128.0318889954983,5598.511002269118,1714.3183490685046,1010695,,Santiago,Grandes Clientes,25
2021-06-26,-3171.722223444842,4520.54317892975,617.8988682879619,1010695,,Santiago,Grandes Clientes,25
2021-06-22,-2993.0224123591133,3401.725054398086,316.01817083291337,1010267,,Santiago,Grandes Clientes,25
2021-06-23,-2882.195341179335,3595.1585761619785,283.82777638018786,1010267,,Santiago,Grandes Clientes,25
2021-06-24,-2809.7603345771204,3556.8120914219908,479.9946780812675,1010267,,Santiago,Grandes Clientes,25
2021-06-25,-2340.7972365490864,4018.091963946786,830.4105270572038,1010267,,Santiago,Grandes Clientes,25
2021-06-26,-3795.1718477835852,3059.3408214785754,-476.8735674202655,1010267,,Santiago,Grandes Clientes,25
2021-06-22,-1755.5957269632677,9760.970219172095,4063.183277966709,1010078,,Santiago,Grandes Clientes,25
2021-06-23,862.8742884458852,11872.045770827051,6246.0976644556085,1010078,,Santiago,Grandes Clientes,25
2021-06-24,1028.4857302404857,12386.286546875841,6747.258878874554,1010078,,Santiago,Grandes Clientes,25
2021-06-25,-749.669708208433,10840.63235356284,5579.270521285011,1010078,,Santiago,Grandes Clientes,25
2021-06-26,-1570.4278181772966,9928.94555409353,4227.733289772911,1010078,,Santiago,Grandes Clientes,25
2021-06-22,-4153.176154839474,6897.13292495084,1102.8942261494283,1010048,,Santiago,Grandes Clientes,25
2021-06-23,-2903.7037230936935,8375.22659820164,2618.4177503293354,1010048,,Santiago,Grandes Clientes,25
2021-06-24,-2797.8450448480417,8128.7802200617725,3015.026043090992,1010048,,Santiago,Grandes Clientes,25
2021-06-25,-3161.410681076026,7233.595819661561,1836.7094267628318,1010048,,Santiago,Grandes Clientes,25
2021-06-26,-4230.354858827445,6459.987375194304,1185.4930812832333,1010048,,Santiago,Grandes Clientes,25
2021-06-22,1049.4524564895855,5985.227507812831,3595.4026760060333,1010002,,Santiago,Grandes Clientes,25
2021-06-23,2524.1298826734346,7406.212021638958,5030.063356918484,1010002,,Santiago,Grandes Clientes,25
2021-06-24,2729.0046516841726,7624.41057724684,5304.704281910124,1010002,,Santiago,Grandes Clientes,25
2021-06-25,3669.454435804035,8470.096066101196,5927.049315431963,1010002,,Santiago,Grandes Clientes,25
2021-06-26,2113.103010861353,6995.2064702960715,4516.047967757692,1010002,,Santiago,Grandes Clientes,25
2021-06-22,138.9765959475331,1065.5021958478117,632.1274189918513,1020253,,Santiago,Foodservice,25
2021-06-23,139.9413828619008,1038.2742468823424,603.5246743576395,1020253,,Santiago,Foodservice,25
2021-06-24,112.99735997886326,1050.7160970325892,607.9592082479251,1020253,,Santiago,Foodservice,25
2021-06-25,116.26866385160959,1057.58634581217,600.6928852270574,1020253,,Santiago,Foodservice,25
2021-06-26,57.31547703209175,967.5919615126704,504.6567312617353,1020253,,Santiago,Foodservice,25
2021-06-22,-197.4690791146146,219.35251229329174,10.679873343418087,1020027,,Santiago,Foodservice,25
2021-06-23,-199.14906395552356,216.6004883335456,14.944326678108006,1020027,,Santiago,Foodservice,25
2021-06-24,-155.66431675016577,274.78528162528465,65.62266614278347,1020027,,Santiago,Foodservice,25
2021-06-25,-160.9292642920434,277.18393257253894,55.728657994234354,1020027,,Santiago,Foodservice,25
2021-06-26,-216.59995740317078,205.9959819236827,-6.740033623102036,1020027,,Santiago,Foodservice,25
2021-06-22,-129.91836554919868,275.7954165282758,67.78322482088407,1020013,,Santiago,Foodservice,25
2021-06-23,-100.13409928354784,299.3373801172584,102.99718601322621,1020013,,Santiago,Foodservice,25
2021-06-24,-150.04177014946868,240.603593032457,49.850049835135124,1020013,,Santiago,Foodservice,25
2021-06-25,-61.09747494098801,314.9070689173519,127.19637377627376,1020013,,Santiago,Foodservice,25
2021-06-26,-137.61920472265592,264.1132163620616,62.097084113974134,1020013,,Santiago,Foodservice,25
2021-06-22,-910.5357566980099,2183.17856900876,782.7493193198366,1020010,,Santiago,Foodservice,25
2021-06-23,-568.7922244152235,2425.9983353414273,988.0250293056976,1020010,,Santiago,Foodservice,25
2021-06-24,-480.24835305936267,2353.5188412049624,927.7704076120696,1020010,,Santiago,Foodservice,25
2021-06-25,-278.39184753892584,2677.2880360176155,1202.226158426453,1020010,,Santiago,Foodservice,25
2021-06-26,-1004.5234982266419,2057.979524558228,486.4785464362998,1020010,,Santiago,Foodservice,25
2021-06-22,-17.40722920053806,361.90971234244006,177.13742418498447,1020003,,Santiago,Foodservice,25
2021-06-23,134.60758774605694,535.3576738832336,335.19401169694277,1020003,,Santiago,Foodservice,25
2021-06-24,-37.86435935475566,343.24879878340784,158.4138686578953,1020003,,Santiago,Foodservice,25
2021-06-25,2.304319545577001,416.52531249740116,218.08116952029718,1020003,,Santiago,Foodservice,25
2021-06-26,-84.94877938281708,295.74879723040874,110.88086284959206,1020003,,Santiago,Foodservice,25
2021-06-22,-165.41739251850217,79.89441300385938,-40.81951063185728,1020001,,Santiago,Foodservice,25
2021-06-23,-62.63757976843006,183.66743703133184,55.24490579263614,1020001,,Santiago,Foodservice,25
2021-06-22,17.660838414297142,518.9182383010759,273.8356653165525,1010695,,Santiago,Foodservice,25
2021-06-23,134.97713210504284,646.546978301852,396.1623931758387,1010695,,Santiago,Foodservice,25
2021-06-24,19.97542491659385,529.4729268560892,282.29070442022544,1010695,,Santiago,Foodservice,25
2021-06-25,78.72702952815571,596.5349849934191,345.5862604780088,1010695,,Santiago,Foodservice,25
2021-06-26,4.81159593504821,510.15050960065315,258.15783916527016,1010695,,Santiago,Foodservice,25
2021-06-22,5416.082270047182,12283.603117842149,8804.071908644564,1010267,,Santiago,Foodservice,25
2021-06-23,5171.304416428964,11858.76139666319,8410.507773521947,1010267,,Santiago,Foodservice,25
2021-06-24,4162.379612896826,11417.395369670936,8072.594317589819,1010267,,Santiago,Foodservice,25
