ds,yhat_lower,yhat_upper,yhat,Material,Oficina de Ventas Unifica,Zona de ventas.1
2021-06-11,194.5065077190444,874.5052602297295,528.7789246214327,1020253,Coquimbo,Centro Norte
2021-06-12,244.54191623463123,916.8731777482894,581.8994362835653,1020253,Coquimbo,Centro Norte
2021-06-05,-70.13707095176265,333.2125033610011,143.0169346825166,1020042,Coquimbo,Centro Norte
2021-06-06,-161.672328241607,245.5666370701004,45.3700248413222,1020042,Coquimbo,Centro Norte
2021-06-07,-114.20514556200573,277.2010715088574,86.7011576686699,1020042,Coquimbo,Centro Norte
2021-06-08,-76.46153733870898,331.1762826751991,122.8737567778144,1020042,Coquimbo,Centro Norte
2021-06-09,-77.19784400927983,346.8044131510201,135.97787963696632,1020042,Coquimbo,Centro Norte
2021-06-10,-78.45199002582018,320.5034705438593,115.16035920462761,1020042,Coquimbo,Centro Norte
2021-06-07,216.09883316226473,1139.0252084450772,678.9252596347196,1020027,Coquimbo,Centro Norte
2021-06-08,413.4232083078314,1398.8502020781057,904.0809127233188,1020027,Coquimbo,Centro Norte
2021-06-09,310.7110380441413,1289.1531504562956,795.4354834468312,1020027,Coquimbo,Centro Norte
2021-06-10,685.4662618567796,1624.5888522312912,1153.6079898551332,1020027,Coquimbo,Centro Norte
2021-06-11,543.3177893288558,1545.2861724982051,1051.8926155969698,1020027,Coquimbo,Centro Norte
2021-06-12,441.05271620675387,1397.1315050860132,907.1259356591713,1020027,Coquimbo,Centro Norte
2021-06-07,-259.0059840883619,1161.0184816431286,438.44049332583603,1020013,Coquimbo,Centro Norte
2021-06-08,364.51591078465106,1785.5090964738463,1080.4221596581624,1020013,Coquimbo,Centro Norte
2021-06-09,3.0199782832569726,1464.4189863144368,756.4259351653734,1020013,Coquimbo,Centro Norte
2021-06-10,200.39475309489666,1663.140761084279,939.1630963441396,1020013,Coquimbo,Centro Norte
2021-06-11,755.5406912989225,2188.501574369786,1460.4169303277326,1020013,Coquimbo,Centro Norte
2021-06-12,498.3494066324914,1935.1695182049027,1229.4156064461104,1020013,Coquimbo,Centro Norte
2021-06-07,44.731126052937874,802.5097556177776,426.34554850533783,1020010,Coquimbo,Centro Norte
2021-06-08,36.098050860912714,766.1576294839863,407.24214752249486,1020010,Coquimbo,Centro Norte
