Cliente - Local.1;Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200141857;;2.0;1.6666666666666667;2.25;1.5454545454545454
3200143778;;2.1666666666666665;0.8;2.176470588235294;1.8928571428571428
55205;;2.0;1.5;2.6666666666666665;0.5
3200056271;;;;;1.0
3200174117;;;;;2.0
3200158214;;;;;1.0
3200081136;;;;1.0;
3200110151;;;2.0;1.0;1.8571428571428572
3200025841;;1.3333333333333333;;3.0;2.6666666666666665
32575;;;;3.0;1.8
3200159049;3.0;2.25;3.0;2.875;2.611111111111111
3200119128;;2.0;;2.6666666666666665;2.75
3200051026;;;3.5;;
35156;;;;;0.0
3200115289;;;;1.0;
3200089238;;;;4.0;
35592;;;;2.0;1.0
58388;;1.0;1.0;1.0;1.25
3200158238;;;;;0.6666666666666666
3200151635;;2.0;3.0;;
14352;;;;;0.0
3200110652;;2.0;;;
3200145293;;2.0;;2.0;
3200111596;;;;2.5;1.8571428571428572
13454;;2.0;2.5;2.8333333333333335;2.875
3200167715;;;;;2.0
58651;2.2;3.1904761904761907;2.5714285714285716;2.977777777777778;2.314814814814815
3200162260;;;;;1.0
3200178008;;;1.0;;1.5
76450;;2.0;0.0;1.0;1.0
3200132670;;1.0;0.0;1.75;2.1666666666666665
3200100115;0.0;;;;
3200109750;;1.0;;1.5;0.0
3200006219;;;;;0.0
28747;;0.5;;0.0;0.0
3200168037;;;;;2.0
3200102208;;;;2.0;1.0
3200143451;;;;2.0;1.8
22765;;;;;2.5
39500;;1.0;1.0;;
3200149470;;;;3.0;
3200006541;;1.0;;2.0;2.0
3200018324;;;;;1.0
3200142727;;2.0;;;
3200109614;;;;;1.0
19819;;;;2.0;
3200106889;2.5;2.7857142857142856;2.272727272727273;2.3333333333333335;1.5833333333333333
3200149886;2.0;2.0;3.0;;0.7272727272727273
3200025543;;;2.0;;
3200145770;;2.5;3.0;2.6666666666666665;2.0
