Cliente - Local.1;Delta dia promedio;Probarilidad de caida %
3200139802;49.57142857142857;7.142857142857142
14018;216.5;0.0
3200164354;0.0;0.0
3200092755;373.3333333333333;33.33333333333333
3200004496;180.6;20.0
3200140716;7.0;0.0
3200079464;0.0;0.0
3200167270;122.0;0.0
3200069167;45.4;6.666666666666667
3200132430;32.1;13.333333333333334
3200141026;17.169811320754718;11.320754716981133
3200157254;28.0;11.11111111111111
3200090952;91.0;0.0
3200126447;120.75;25.0
3200127292;16.907692307692308;9.230769230769232
3200152916;149.0;0.0
3200083189;742.0;0.0
3200141596;92.4;0.0
3200171909;21.0;0.0
26508;17.5;16.666666666666664
3200161899;0.0;0.0
10517;11.0;0.0
3200166507;0.0;0.0
9693;421.0;0.0
3200130736;218.0;0.0
3200060764;72.0;7.142857142857142
3200141532;36.75;0.0
3200159118;245.0;0.0
3200131088;9.0;5.88235294117647
3200139243;65.75;0.0
36836;112.0;0.0
3200167790;45.333333333333336;33.33333333333333
3200096359;0.0;0.0
46104;27.727272727272727;9.090909090909092
3200169913;0.0;0.0
3200168172;20.2;0.0
3200016111;0.0;0.0
3200047048;0.0;0.0
3200127721;22.5;16.666666666666664
3200062429;17.180555555555557;5.555555555555555
3200172108;5.647058823529412;5.88235294117647
3200168910;49.0;0.0
3200113004;56.26923076923077;19.230769230769234
3200158974;49.0;0.0
3200141016;92.0;0.0
52468;33.9;17.5
3200166168;35.0;0.0
3200167126;15.75;0.0
3200135205;25.0;0.0
3200172900;14.0;0.0
3200165797;21.0;20.0
3200159403;35.0;0.0
3200134407;47.27272727272727;4.545454545454546
3200167206;42.0;0.0
3200059738;133.0;0.0
3200172770;19.0;0.0
3200122713;177.5;25.0
3200122896;91.66666666666667;16.666666666666664
3200132724;87.0;0.0
3200157876;39.57142857142857;14.285714285714285
3200172261;6.333333333333333;6.666666666666667
3200163463;52.5;0.0
3200155579;42.42857142857143;0.0
83871;319.0;0.0
3200038029;8.0;0.0
3200131034;0.0;0.0
3200155016;40.0;0.0
3200127737;127.5;0.0
3200167027;24.0;12.5
5379;0.0;0.0
3200161299;66.0;0.0
13072;28.666666666666668;16.666666666666664
3200169099;0.0;0.0
3200117486;0.0;0.0
3200096598;49.0;25.0
3200105901;27.6;10.0
3200127157;56.0;0.0
3200051347;153.0;28.57142857142857
64687;111.16666666666667;16.666666666666664
3200153742;54.25;0.0
44936;52.142857142857146;14.285714285714285
3200153946;0.0;0.0
3200125874;147.0;0.0
13016;0.0;0.0
34269;131.6;20.0
3200080339;0.0;0.0
3200159761;47.333333333333336;16.666666666666664
23787;170.4;20.0
3200160523;18.88888888888889;16.666666666666664
3200148519;0.0;0.0
3200149576;147.0;0.0
3200131082;54.0;0.0
3200138486;47.0;0.0
3200164343;73.5;0.0
3200078275;58.833333333333336;0.0
3200157574;36.4;10.0
3200171340;0.0;0.0
3200168887;63.0;0.0
3200122709;159.5;0.0
3200154199;49.0;0.0
3200130253;238.0;0.0
82628;140.0;0.0
3200155789;0.0;0.0
3200136933;0.0;0.0
53584;0.0;0.0
3200130847;257.25;25.0
3200138475;73.66666666666667;0.0
3200138126;0.0;0.0
