Cliente - Local.1;"Precio Pond CLP 
 Tipo de Semana 4";"Kilos Venta KG promedio 
 Tipo de Semana 4";"Precio Pond CLP 
 Tipo de Semana 3";"Kilos Venta KG promedio 
 Tipo de Semana 3";"Precio Pond CLP 
 Tipo de Semana 2";"Kilos Venta KG promedio 
 Tipo de Semana 2";"Precio Pond CLP 
 Tipo de Semana 1";"Kilos Venta KG promedio 
 Tipo de Semana 1";"Precio Pond CLP 
 Tipo de Semana 0";"Kilos Venta KG promedio 
 Tipo de Semana 0";Tipo de Semana 4;Tipo de Semana 3;Tipo de Semana 2;Tipo de Semana 1;Tipo de Semana 0
3200039386;;;;;5407.385170230729;32.0;4273.394417627322;24.0;;;;;2.0;2.0;
3200018326;;;;;;;;;2582.3737132627884;21.5;;;;;0.0
3200080009;;;;;5301.7703404614585;64.0;4140.754263818392;76.0;3799.581689521258;72.66666666666667;;;2.0;3.0;2.3333333333333335
62093;;;;;;;3182.7888352546443;186.0;;;;;;0.0;
16393;;;;;;;;;4139.16603117674;16.0;;;;;2.0
3200154124;;;;;5408.887987520282;17.0;4374.149794816426;21.666666666666668;;;;;2.0;2.3333333333333335;
3200004836;;;;;;;;;2769.58301558837;17.0;;;;;0.0
3200160822;;;;;;;;;3083.58301558837;29.0;;;;;0.0
3200123232;;;;;;;;;4437.0;17.0;;;;;2.0
3200138379;5500.0;19.0;4790.0;18.0;;;;;3891.0414406649675;28.4;3.0;3.0;;;1.4
3200100902;5696.444711284168;126.0;4671.984897330461;92.88888888888889;5621.633837883389;118.71428571428571;4384.8304823614035;111.88888888888889;3811.23017889732;116.72;3.0;2.888888888888889;3.2857142857142856;3.1666666666666665;2.68
3200105265;;;4866.631578947368;31.666666666666668;5454.260170230729;16.0;5321.394417627322;17.0;4040.4621848739494;23.8;;3.0;2.0;4.0;2.1
58500;;;;;;;3514.5947651737815;123.66666666666667;;;;;;1.0;
3200073875;;;;;4414.7703404614585;1248.0;3282.7888352546443;73.0;2660.663659628102;1141.25;;;1.0;0.0;1.5
3200072095;;;;;;;;;2512.9896089949634;91.0;;;;;0.0
3200072007;;;;;;;3282.7888352546443;559.0;;;;;;1.0;
3200074576;;;;;;;3982.788835254644;23.0;3892.1072076473283;76.5;;;;1.0;2.5
3200132937;;;4416.04457358336;20.333333333333332;4823.861249552368;22.0;3889.931692397501;21.0;3418.878790236258;35.5;;1.6666666666666667;0.5;1.0;1.0
42441;;;4022.2957904322084;45.0;4857.385170230729;35.0;3782.7888352546443;28.0;3087.392913906264;40.6;;1.0;1.0;1.0;0.6
3200165221;;;;;;;4250.0;19.0;4090.0;20.0;;;;2.0;2.0
3200115880;;;4922.295790432208;19.0;5039.7703404614585;25.0;3782.788835254644;22.0;4090.0;24.0;;3.0;1.0;1.0;2.0
38414;;;;;;;;;3500.0;41.0;;;;;1.0
3200154136;;;;;;;4081.394417627322;45.0;;;;;;2.0;
3200136995;;;;;;;4081.394417627322;24.0;;;;;;2.0;
3200167575;;;4350.0;25.0;;;5141.394417627322;17.0;;;;2.0;;4.0;
3200005156;;;4622.295790432208;24.0;;;;;;;;2.0;;;
3200102239;;;4022.2957904322084;18.0;;;4281.394417627322;26.0;3446.230754063899;25.5;;1.0;;2.0;1.1666666666666667
38444;;;4584.630350194552;51.4;5770.288396037181;31.0;;;;;;2.4;3.0;;
3200158138;;;;;;;;;2869.5830155883705;46.0;;;;;0.0
3200161810;;;;;;;;;3490.0;19.0;;;;;1.0
3200146482;5345.993216317166;22.0;;;;;;;;;2.0;;;;
3200153683;;;4322.295790432208;21.0;4764.7703404614585;24.0;4267.9740204398295;40.5;3415.9665772322055;121.66666666666667;;1.0;0.0;2.5;1.3333333333333333
3200110242;;;;;;;;;3269.58301558837;26.0;;;;;1.0
33511;;;4652.195121951219;20.5;5382.842765440352;20.0;4594.806352858803;20.214285714285715;4087.632628696728;20.285714285714285;;2.25;1.8333333333333333;2.5714285714285716;1.8928571428571428
3200159262;;;5150.0;51.0;;;4258.194417627322;31.25;;;;3.0;;2.25;
39813;;;;;;;3494.416742231388;43.0;4339.16603117674;32.0;;;;0.5;3.0
3200145758;;;4889.56043956044;30.333333333333332;;;;;3885.6875;32.0;;2.6666666666666665;;;1.6
3200071285;;;;;4997.385170230729;19.0;4600.704762454908;29.0;;;;;1.0;3.0;
3200133185;;;4532.384105960265;75.5;;;;;4027.832964456376;48.8;;2.5;;;2.1
59596;;;;;4997.385170230729;21.0;4142.173543931339;22.8;3522.8596113330505;23.5;;;1.0;1.8;1.0
70619;;;4622.295790432208;60.0;;;4391.394417627322;51.0;3641.294117647059;42.5;;3.0;;3.0;1.5
3200168632;;;;;;;5215.616639849543;22.5;;;;;;4.0;
3200154547;;;;;;;4232.788835254644;51.0;;;;;;2.0;
3200079283;;;;;;;;;2969.58301558837;41.0;;;;;0.0
34079;;;;;;;3182.7888352546443;35.0;;;;;;0.0;
40630;;;;;;;4181.394417627322;23.0;;;;;;2.0;
3200116918;;;;;;;;;3475.575086267626;37.666666666666664;;;;;1.3333333333333333
3200100273;;;;;;;;;3069.58301558837;19.0;;;;;0.0
19025;;;;;;;3981.394417627322;28.0;;;;;;1.0;
3200110278;;;;;;;5284.394417627322;15.0;3835.955056179775;29.666666666666668;;;;4.0;1.6666666666666667
3200040900;;;4622.295790432208;28.0;;;;;;;;2.0;;;
3200152631;;;;;;;;;4000.0;22.0;;;;;2.0
8703;;;;;;;4266.644525589774;22.5;4439.16603117674;22.0;;;;2.0;3.0
22476;6090.0;21.0;4752.507927961072;21.333333333333332;5748.178821024379;31.5;4255.73557187715;32.4;3664.0635072721802;24.3125;4.0;2.6666666666666665;2.0;2.4;1.625
3200139928;;;;;5314.7703404614585;21.0;4237.621342239344;23.666666666666668;3195.0;42.0;;;2.0;2.0;0.5
24563;;;4850.0;13.0;5797.385170230729;18.0;;;;;;3.0;3.0;;
1831;;;4022.295790432209;40.0;;;;;;;;1.0;;;
3200147248;;;;;;;4057.6210500197444;29.8;3782.63835931395;18.0;;;;1.4;1.6666666666666667
3200017088;;;;;5014.7703404614585;26.0;;;3769.58301558837;21.0;;;1.0;;1.0
3200105811;5287.572163685586;28.5;5077.502053100017;23.95;5747.982778342602;25.96;4672.862958867704;25.35;4439.12170962645;24.160714285714285;1.5;3.3;2.64;3.15;2.7857142857142856
3200146319;5005.993216317166;265.0;4342.183965280058;80.70588235294117;5290.033882507474;57.7;4248.8558596004805;74.88571428571429;3764.4179829703453;62.65853658536585;3.0;2.0588235294117645;2.0;2.6285714285714286;1.8780487804878048
