"Sector";"Material";"Tipo de cliente";"Zona de ventas";"Zona de ventas";"Oficina de Ventas Unifica";"Oficina de Ventas Unifica";"Mes";"Año natural/Semana";"Día natural";"Día de la semana";"Kilos Venta KG";"Venta Neta";"Precio Promedio"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"08.06.2021";"MA";"228";"552.007 CLP";"2.425 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"09.06.2021";"MI";"229";"550.056 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Concepcion";"T104";"6";"23.2021";"11.06.2021";"VI";"120";"288.336 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Los Angeles";"T112";"6";"23.2021";"10.06.2021";"JU";"405";"971.736 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"08.06.2021";"MA";"117";"286.332 CLP";"2.450 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"09.06.2021";"MI";"56";"135.240 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"10.06.2021";"JU";"66";"158.904 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Rancagua";"T103";"6";"23.2021";"11.06.2021";"VI";"162";"388.800 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z003";"Centro Sur";"Talca";"T153";"6";"23.2021";"10.06.2021";"JU";"317";"741.030 CLP";"2.336 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z004";"Sur";"Osorno";"T110";"6";"23.2021";"09.06.2021";"MI";"81";"202.412 CLP";"2.490 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z004";"Sur";"Osorno";"T110";"6";"23.2021";"11.06.2021";"VI";"334";"667.740 CLP";"2.000 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z004";"Sur";"Punta Arenas";"T119";"6";"23.2021";"08.06.2021";"MA";"181";"416.852 CLP";"2.300 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z005";"Norte";"Antofagasta";"T163";"6";"23.2021";"10.06.2021";"JU";"97";"233.544 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z005";"Norte";"Antofagasta";"T163";"6";"23.2021";"11.06.2021";"VI";"81";"194.688 CLP";"2.400 CLP"
"Cerdo";"1020253";"Grandes Clientes";"Z005";"Norte";"Copiapo";"T165";"6";"23.2021";"10.06.2021";"JU";"91";"218.448 CLP";"2.400 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"08.06.2021";"MA";"46";"120.814 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"09.06.2021";"MI";"351";"885.652 CLP";"2.525 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"10.06.2021";"JU";"231";"591.241 CLP";"2.558 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Huechuraba";"T101";"6";"23.2021";"11.06.2021";"VI";"86";"218.586 CLP";"2.550 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"08.06.2021";"MA";"229";"572.122 CLP";"2.500 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"09.06.2021";"MI";"52";"138.463 CLP";"2.650 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"10.06.2021";"JU";"142";"342.405 CLP";"2.409 CLP"
"Cerdo";"1020253";"Foodservice";"Z001";"Santiago";"Lo Espejo";"T117";"6";"23.2021";"11.06.2021";"VI";"20";"53.424 CLP";"2.650 CLP"
